threshold,tp,fp,fn,tn,sensitivity,specificity,ppv,npv,f1_positive,accuracy,balanced_accuracy,youden_j,referral_rate,cost_fn1x,cost_fn5x,cost_fn10x,cost_fn20x
0.01,1877,4341,0,0,1.0,0.0,0.3018655516243165,,0.46374305126621373,0.3018655516243165,0.5,0.0,1.0,69.81344483756835,69.81344483756835,69.81344483756835,69.81344483756835
0.02,1877,4341,0,0,1.0,0.0,0.3018655516243165,,0.46374305126621373,0.3018655516243165,0.5,0.0,1.0,69.81344483756835,69.81344483756835,69.81344483756835,69.81344483756835
0.03,1804,0,73,4341,0.9611081513052744,1.0,1.0,0.9834617127322157,0.9801684324911709,0.9882598906400772,0.9805540756526372,0.9611081513052744,0.2901254422643937,1.1740109359922806,5.870054679961402,11.740109359922805,23.48021871984561
0.04,1801,0,76,4341,0.9595098561534363,1.0,1.0,0.9827937514149876,0.9793365959760739,0.9877774203924091,0.9797549280767182,0.9595098561534363,0.2896429720167256,1.2222579607590864,6.111289803795432,12.222579607590864,24.44515921518173
0.05,1800,0,77,4341,0.9589770911028237,1.0,1.0,0.982571299230421,0.9790590155017678,0.9876165969765198,0.9794885455514118,0.9589770911028237,0.28948214860083626,1.238340302348022,6.191701511740109,12.383403023480218,24.766806046960436
0.06,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.07,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.08,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.09,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.1,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.11,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.12,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.13,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.14,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.15,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.16,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.17,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.18,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.19,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.2,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.21,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.22,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.23,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.24,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.25,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.26,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.27,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.28,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.29,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.3,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.31,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.32,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.33,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.34,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.35,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.36,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.37,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.38,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.39,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.4,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.41,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.42,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.43,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.44,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.45,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.46,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.47,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.48,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.49,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.5,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.51,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
0.52,1799,0,78,4341,0.958444326052211,1.0,1.0,0.9823489477257298,0.9787812840043526,0.9874557735606304,0.9792221630261055,0.9584443260522111,0.2893213251849469,1.2544226439369572,6.272113219684786,12.544226439369572,25.088452878739144
