threshold,tp,fp,fn,tn,sensitivity,specificity,ppv,npv,f1_positive,accuracy,balanced_accuracy,youden_j,referral_rate,cost_fn1x,cost_fn5x,cost_fn10x,cost_fn20x
0.44,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.45,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.46,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.47,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.48,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.49,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.5,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.51,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.52,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.53,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.54,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.55,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.56,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.57,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
0.58,1803,0,74,4341,0.9605753862546617,1.0,1.0,0.9832389580973953,0.9798913043478261,0.9880990672241878,0.9802876931273308,0.9605753862546615,0.28996461884850433,1.1900932775812159,5.950466387906079,11.900932775812159,23.801865551624317
